Target,DE_R1_mock,DE_R25_mock,DE_R1_R25,R1_LFC,R25_LFC,abs_R1_FC,abs_R25_FC,mean_fc
Glyma.09G205700,no,yes,no,1.893522124,3.108881332,1.893522124,3.108881332,2.501201728
Glyma.09G206100,yes,no,no,0.872913539,-0.024593075,0.872913539,0.024593075,0.448753307
Glyma.09G207200,no,yes,no,0.319469417,0.47936796,0.319469417,0.47936796,0.399418688
Glyma.09G207700,yes,yes,no,-0.77839457,-0.566465699,0.77839457,0.566465699,0.672430134
Glyma.09G207900,yes,no,yes,-1.002311606,-0.168706841,1.002311606,0.168706841,0.585509223
Glyma.09G209900,no,yes,no,0.35829254,0.887047976,0.35829254,0.887047976,0.622670258
Glyma.09G210600,yes,yes,no,4.396636219,5.802205478,4.396636219,5.802205478,5.099420848
Glyma.09G210900,yes,yes,no,-1.211176509,-1.320954281,1.211176509,1.320954281,1.266065395
Glyma.09G211700,no,yes,no,2.666441322,3.692716739,2.666441322,3.692716739,3.179579031
Glyma.09G213100,yes,yes,no,1.082140282,1.570963119,1.082140282,1.570963119,1.326551701
Glyma.09G214500,no,yes,no,-0.479575936,-0.843315346,0.479575936,0.843315346,0.661445641
Glyma.09G215700,no,yes,no,-0.293424226,-0.417059245,0.293424226,0.417059245,0.355241736
Glyma.09G216000,no,yes,no,0.572160086,1.148445623,0.572160086,1.148445623,0.860302855
Glyma.09G216200,yes,yes,no,3.239067716,3.911431641,3.239067716,3.911431641,3.575249679
Glyma.09G216400,yes,yes,no,2.898705202,3.48037542,2.898705202,3.48037542,3.189540311
Glyma.09G216900,yes,yes,no,-0.806342049,-0.785430944,0.806342049,0.785430944,0.795886497
Glyma.09G217700,yes,yes,no,-0.967912441,-1.077714821,0.967912441,1.077714821,1.022813631
Glyma.09G218300,no,yes,no,1.650637442,1.683700032,1.650637442,1.683700032,1.667168737
Glyma.09G218600,no,yes,no,0.932451353,1.957833197,0.932451353,1.957833197,1.445142275
Glyma.09G219100,no,yes,no,-0.58052109,-1.515339987,0.58052109,1.515339987,1.047930538
Glyma.09G221700,yes,yes,no,-2.491741324,-1.961547399,2.491741324,1.961547399,2.226644361
Glyma.09G222500,yes,yes,no,0.586031683,0.639864147,0.586031683,0.639864147,0.612947915
Glyma.09G223600,yes,yes,no,-0.815582148,-0.965188729,0.815582148,0.965188729,0.890385439
Glyma.09G225700,no,yes,no,-0.2971561,-0.698228393,0.2971561,0.698228393,0.497692246
Glyma.09G225900,yes,yes,no,-0.67032968,-0.734561439,0.67032968,0.734561439,0.70244556
Glyma.09G226000,no,yes,no,-0.796654454,-1.191740939,0.796654454,1.191740939,0.994197697
Glyma.09G226900,no,yes,no,0.164052545,0.8886113,0.164052545,0.8886113,0.526331923
Glyma.09G227100,no,yes,no,-0.436556117,-0.728741548,0.436556117,0.728741548,0.582648832
Glyma.09G227200,no,yes,no,-0.697496253,-0.799373584,0.697496253,0.799373584,0.748434918
Glyma.09G227600,no,yes,no,0.450956668,0.727763519,0.450956668,0.727763519,0.589360093
Glyma.09G228200,yes,yes,no,0.832092078,0.80278891,0.832092078,0.80278891,0.817440494
Glyma.09G229200,no,yes,no,0.432037078,1.441772773,0.432037078,1.441772773,0.936904925
Glyma.09G230700,yes,no,no,-0.745866195,-0.346925126,0.745866195,0.346925126,0.546395661
Glyma.09G232600,no,yes,no,-0.542408746,-0.813766161,0.542408746,0.813766161,0.678087453
Glyma.09G235200,no,yes,no,-0.936599894,-2.034372118,0.936599894,2.034372118,1.485486006
Glyma.09G235400,no,yes,no,-0.354320233,-0.500070346,0.354320233,0.500070346,0.427195289
Glyma.09G236500,no,yes,no,0.6133767,0.854181806,0.6133767,0.854181806,0.733779253
Glyma.09G237200,yes,yes,no,3.590581047,4.31556731,3.590581047,4.31556731,3.953074179
Glyma.09G238200,yes,yes,no,-1.736703891,-2.381935902,1.736703891,2.381935902,2.059319896
Glyma.09G238900,yes,yes,no,1.930001523,2.078939652,1.930001523,2.078939652,2.004470587
Glyma.09G239800,yes,no,no,-1.042213478,-0.723406336,1.042213478,0.723406336,0.882809907
Glyma.09G239900,yes,yes,no,5.660513722,6.131051198,5.660513722,6.131051198,5.89578246
Glyma.09G240100,yes,yes,no,3.651782093,3.513944235,3.651782093,3.513944235,3.582863164
Glyma.09G244900,no,yes,no,-0.426006891,-0.759801765,0.426006891,0.759801765,0.592904328
Glyma.09G245400,no,yes,no,-1.191153825,-1.666861751,1.191153825,1.666861751,1.429007788
Glyma.09G246100,yes,no,no,-0.927531082,-0.604201308,0.927531082,0.604201308,0.765866195
Glyma.09G246600,no,yes,no,0.386616016,0.705309192,0.386616016,0.705309192,0.545962604
Glyma.09G246700,yes,yes,no,1.098388823,1.513539933,1.098388823,1.513539933,1.305964378
Glyma.09G246800,yes,yes,no,4.096918846,5.077529351,4.096918846,5.077529351,4.587224099
Glyma.09G247900,yes,yes,no,-1.150701962,-1.188747701,1.150701962,1.188747701,1.169724831
Glyma.09G249200,yes,yes,no,-0.943467633,-1.002338171,0.943467633,1.002338171,0.972902902
Glyma.09G249400,no,yes,no,-0.666602819,-0.906379812,0.666602819,0.906379812,0.786491315
Glyma.09G249500,no,yes,no,-0.533695864,-1.111817376,0.533695864,1.111817376,0.82275662
Glyma.09G250200,no,yes,no,0.406464696,0.857406792,0.406464696,0.857406792,0.631935744
Glyma.09G250700,no,yes,no,1.249147622,2.972189889,1.249147622,2.972189889,2.110668755
Glyma.09G250800,no,yes,no,-0.456042755,-0.845733167,0.456042755,0.845733167,0.650887961
Glyma.09G252800,no,yes,no,-0.44353261,-0.692626951,0.44353261,0.692626951,0.56807978
Glyma.09G252900,no,yes,no,-0.690655893,-0.767965192,0.690655893,0.767965192,0.729310543
Glyma.09G253200,yes,yes,no,4.347460095,5.265980119,4.347460095,5.265980119,4.806720107
Glyma.09G255500,no,yes,no,-0.709614916,-0.931215342,0.709614916,0.931215342,0.820415129
Glyma.09G257500,no,yes,no,0.561889997,0.728953689,0.561889997,0.728953689,0.645421843
Glyma.09G258000,yes,yes,no,1.526827086,2.198638191,1.526827086,2.198638191,1.862732638
Glyma.09G259100,no,yes,no,0.371214804,0.818291464,0.371214804,0.818291464,0.594753134
Glyma.09G260600,no,yes,no,-0.522458786,-0.870818878,0.522458786,0.870818878,0.696638832
Glyma.09G262400,no,yes,no,-0.488705611,-0.674596301,0.488705611,0.674596301,0.581650956
Glyma.09G265500,no,yes,no,0.579775656,1.205524727,0.579775656,1.205524727,0.892650192
Glyma.09G266700,yes,yes,no,2.336972729,3.532176251,2.336972729,3.532176251,2.93457449
Glyma.09G267700,no,yes,no,-0.377926101,-0.883181479,0.377926101,0.883181479,0.63055379
Glyma.09G268800,no,yes,no,0.82238453,1.283110671,0.82238453,1.283110671,1.0527476
Glyma.09G268900,yes,yes,no,1.220483837,1.411493255,1.220483837,1.411493255,1.315988546
Glyma.09G269500,yes,yes,no,4.890689279,5.909527451,4.890689279,5.909527451,5.400108365
Glyma.09G269600,yes,yes,yes,3.800843957,4.80958243,3.800843957,4.80958243,4.305213194
Glyma.09G270500,no,yes,no,0.238185701,0.586283887,0.238185701,0.586283887,0.412234794
Glyma.09G270900,yes,yes,no,3.127003549,4.369410217,3.127003549,4.369410217,3.748206883
Glyma.09G271300,no,yes,no,-1.252518774,-1.487584228,1.252518774,1.487584228,1.370051501
Glyma.09G272300,no,yes,no,0.51499293,1.718387557,0.51499293,1.718387557,1.116690243
Glyma.09G273800,no,yes,no,-0.588078044,-1.123697243,0.588078044,1.123697243,0.855887644
Glyma.09G275100,no,yes,no,1.105656048,1.446829961,1.105656048,1.446829961,1.276243004
Glyma.09G277100,yes,yes,no,-1.384512033,-1.82639086,1.384512033,1.82639086,1.605451447
Glyma.09G277200,no,yes,no,-0.217599503,-0.595178246,0.217599503,0.595178246,0.406388874
Glyma.09G277800,yes,yes,no,3.480653879,4.51943762,3.480653879,4.51943762,4.00004575
Glyma.09G277900,yes,yes,no,3.017854528,4.132858998,3.017854528,4.132858998,3.575356763
Glyma.09G278600,no,yes,no,0.709962303,0.850749773,0.709962303,0.850749773,0.780356038
Glyma.09G280200,no,yes,no,2.013830929,3.379669663,2.013830929,3.379669663,2.696750296
Glyma.09G280900,no,yes,no,-0.627512497,-1.725054363,0.627512497,1.725054363,1.17628343
Glyma.09G281700,no,yes,no,0.65282993,0.73260831,0.65282993,0.73260831,0.69271912
Glyma.09G281800,yes,yes,yes,4.50608484,5.912467615,4.50608484,5.912467615,5.209276228
Glyma.09G281900,yes,yes,no,8.199276976,9.499788952,8.199276976,9.499788952,8.849532964
Glyma.09G285400,yes,yes,no,-0.509951554,-0.485624922,0.509951554,0.485624922,0.497788238
Glyma.09G286200,yes,yes,no,-1.06901751,-1.201065682,1.06901751,1.201065682,1.135041596
Glyma.10G000500,no,yes,no,-0.738527647,-0.86374974,0.738527647,0.86374974,0.801138693
Glyma.10G000900,yes,yes,no,-1.425437203,-1.430506548,1.425437203,1.430506548,1.427971876
Glyma.10G002100,no,yes,no,-0.497525648,-1.189727281,0.497525648,1.189727281,0.843626464
Glyma.10G002200,yes,yes,no,2.310662473,3.165345045,2.310662473,3.165345045,2.738003759
Glyma.10G002300,no,yes,no,0.146735648,0.571393396,0.146735648,0.571393396,0.359064522
Glyma.10G002600,yes,yes,no,-0.631055388,-0.495143933,0.631055388,0.495143933,0.56309966
Glyma.10G005200,no,yes,no,0.347430748,0.642605034,0.347430748,0.642605034,0.495017891
Glyma.10G005400,yes,yes,no,3.646775347,3.940853552,3.646775347,3.940853552,3.79381445
Glyma.10G005600,no,yes,no,0.231591058,0.673084351,0.231591058,0.673084351,0.452337704
Glyma.10G006600,yes,yes,no,3.435072184,6.110855628,3.435072184,6.110855628,4.772963906
Glyma.10G006700,yes,yes,no,5.038698958,5.546450147,5.038698958,5.546450147,5.292574552
Glyma.10G007000,yes,yes,no,4.431727822,7.268023272,4.431727822,7.268023272,5.849875547
Glyma.10G007800,no,yes,no,-0.349477264,-0.466320248,0.349477264,0.466320248,0.407898756
Glyma.10G008400,no,yes,no,0.797979232,1.344716154,0.797979232,1.344716154,1.071347693
Glyma.10G008600,no,yes,no,2.195959098,3.99522327,2.195959098,3.99522327,3.095591184
Glyma.10G009100,no,yes,no,0.345173503,0.690203923,0.345173503,0.690203923,0.517688713
Glyma.10G010300,no,yes,no,1.844260473,2.748146776,1.844260473,2.748146776,2.296203625
Glyma.10G011300,no,yes,no,0.793929692,1.357212975,0.793929692,1.357212975,1.075571334
Glyma.10G012900,yes,yes,no,-2.521167732,-3.236624699,2.521167732,3.236624699,2.878896216
Glyma.10G014000,yes,yes,no,-0.974403948,-1.80822857,0.974403948,1.80822857,1.391316259
Glyma.10G016000,no,yes,no,-0.109112788,-0.730030024,0.109112788,0.730030024,0.419571406
Glyma.10G016200,yes,yes,no,0.773754404,1.251301059,0.773754404,1.251301059,1.012527732
Glyma.10G016500,yes,yes,no,4.39157684,5.577307397,4.39157684,5.577307397,4.984442119
Glyma.10G017000,no,yes,no,-0.822563039,-1.561001175,0.822563039,1.561001175,1.191782107
Glyma.10G018400,yes,yes,no,0.719333532,1.300614857,0.719333532,1.300614857,1.009974195
Glyma.10G018700,yes,yes,no,1.27370558,2.083195475,1.27370558,2.083195475,1.678450528
Glyma.10G018800,yes,yes,no,2.496978008,3.215372818,2.496978008,3.215372818,2.856175413
Glyma.10G019000,yes,yes,yes,1.721418922,2.605214073,1.721418922,2.605214073,2.163316497
Glyma.10G019400,no,yes,no,0.450052823,0.561184732,0.450052823,0.561184732,0.505618777
Glyma.10G019800,yes,yes,no,-2.318045373,-2.424079378,2.318045373,2.424079378,2.371062376
Glyma.10G021300,no,yes,no,-0.593369465,-1.29855119,0.593369465,1.29855119,0.945960328
Glyma.10G022200,no,yes,no,-0.169687974,-0.626993493,0.169687974,0.626993493,0.398340734
Glyma.10G023900,no,yes,no,0.503025203,0.691142798,0.503025203,0.691142798,0.597084
Glyma.10G024300,no,yes,no,0.582097913,0.702231162,0.582097913,0.702231162,0.642164537
Glyma.10G024500,no,yes,no,0.278070937,0.516145727,0.278070937,0.516145727,0.397108332
Glyma.10G025500,yes,yes,no,3.743861312,4.553536382,3.743861312,4.553536382,4.148698847
Glyma.10G026600,yes,yes,no,-1.513399792,-1.92006914,1.513399792,1.92006914,1.716734466
Glyma.10G027900,no,yes,no,-0.887065624,-1.211629555,0.887065624,1.211629555,1.049347589
Glyma.10G028000,no,yes,no,-0.358970641,-0.752115027,0.358970641,0.752115027,0.555542834
Glyma.10G028900,yes,yes,no,2.427187988,2.965433713,2.427187988,2.965433713,2.69631085
Glyma.10G029800,yes,yes,no,1.079261714,1.140076313,1.079261714,1.140076313,1.109669014
Glyma.10G032200,no,yes,no,-0.618333374,-0.825788635,0.618333374,0.825788635,0.722061005
Glyma.10G032700,yes,yes,no,3.421594858,4.406014148,3.421594858,4.406014148,3.913804503
Glyma.10G034400,no,yes,no,-0.325267875,-0.750599131,0.325267875,0.750599131,0.537933503
Glyma.10G034800,no,yes,no,-0.462465698,-0.683841678,0.462465698,0.683841678,0.573153688
Glyma.10G036600,no,yes,no,1.47537969,3.73066532,1.47537969,3.73066532,2.603022505
Glyma.10G036700,no,yes,no,2.807668208,5.565185715,2.807668208,5.565185715,4.186426962
Glyma.10G037500,no,yes,no,-0.751300881,-0.921581185,0.751300881,0.921581185,0.836441033
Glyma.10G037700,no,yes,no,-0.448585576,-1.118671631,0.448585576,1.118671631,0.783628604
Glyma.10G039000,no,yes,no,0.190468158,0.452427901,0.190468158,0.452427901,0.32144803
Glyma.10G040300,no,yes,no,-1.24410272,-1.350241798,1.24410272,1.350241798,1.297172259
Glyma.10G040600,no,yes,no,-1.296212847,-1.691264431,1.296212847,1.691264431,1.493738639
Glyma.10G041200,yes,yes,no,2.109230692,2.765079056,2.109230692,2.765079056,2.437154874
Glyma.10G041400,yes,yes,no,1.618985406,2.377802345,1.618985406,2.377802345,1.998393875
Glyma.10G042900,no,yes,no,0.196844917,1.434179396,0.196844917,1.434179396,0.815512156
Glyma.10G043200,no,yes,no,0.444200908,0.753667742,0.444200908,0.753667742,0.598934325
Glyma.10G043700,yes,yes,no,-1.721631516,-1.475155738,1.721631516,1.475155738,1.598393627
Glyma.10G044000,no,yes,no,-0.209195188,-0.38709799,0.209195188,0.38709799,0.298146589
Glyma.10G044400,yes,yes,no,0.845137482,1.145450887,0.845137482,1.145450887,0.995294185
Glyma.10G044550,no,yes,no,1.292871567,2.207079483,1.292871567,2.207079483,1.749975525
Glyma.10G045400,yes,yes,yes,5.555284674,7.204625534,5.555284674,7.204625534,6.379955104
Glyma.10G046000,yes,yes,no,6.050667136,7.141192341,6.050667136,7.141192341,6.595929739
Glyma.10G046900,yes,yes,no,1.978953497,2.424519086,1.978953497,2.424519086,2.201736291
Glyma.10G047100,yes,yes,no,1.253934124,1.882660916,1.253934124,1.882660916,1.56829752
Glyma.10G047700,yes,yes,no,1.548077896,2.183281418,1.548077896,2.183281418,1.865679657
Glyma.10G048900,no,yes,no,0.625184323,0.946835737,0.625184323,0.946835737,0.78601003
Glyma.10G051100,no,yes,no,-0.428159126,-0.6851404,0.428159126,0.6851404,0.556649763
Glyma.10G051400,yes,yes,no,-0.638719804,-0.485137209,0.638719804,0.485137209,0.561928507
Glyma.10G052000,no,yes,no,0.087768345,-0.376605561,0.087768345,0.376605561,0.232186953
Glyma.10G052100,no,yes,no,-1.2112059,-1.948940398,1.2112059,1.948940398,1.580073149
Glyma.10G053000,no,yes,no,1.172134286,1.527597222,1.172134286,1.527597222,1.349865754
Glyma.10G054700,yes,yes,no,5.316817393,6.409056455,5.316817393,6.409056455,5.862936924
Glyma.10G055300,yes,yes,no,1.068922952,1.459647023,1.068922952,1.459647023,1.264284988
Glyma.10G057000,no,yes,no,0.375184772,0.75058192,0.375184772,0.75058192,0.562883346
Glyma.10G057600,no,yes,no,0.962419027,0.886600134,0.962419027,0.886600134,0.92450958
Glyma.10G058100,yes,yes,no,0.488304059,0.617494645,0.488304059,0.617494645,0.552899352
Glyma.10G058200,yes,yes,no,1.615309302,2.088040203,1.615309302,2.088040203,1.851674752
Glyma.10G058800,no,yes,no,-1.036101034,-1.417657051,1.036101034,1.417657051,1.226879043
Glyma.10G059500,yes,yes,no,-0.904500589,-1.055191532,0.904500589,1.055191532,0.979846061
Glyma.10G059900,no,yes,no,-0.889952529,-1.093829761,0.889952529,1.093829761,0.991891145
Glyma.10G062600,yes,yes,no,2.656057367,3.420846979,2.656057367,3.420846979,3.038452173
Glyma.10G062750,no,yes,no,-0.562553505,-0.977488159,0.562553505,0.977488159,0.770020832
Glyma.10G062900,no,yes,no,-0.402604909,-0.818715755,0.402604909,0.818715755,0.610660332
