Target,Treatment,FC
Glyma.02G130400,R1_FC,3.518861621
Glyma.02G131700,R1_FC,-0.398142997
Glyma.02G131900,R1_FC,0.590436047
Glyma.02G132200,R1_FC,1.825477739
Glyma.02G133500,R1_FC,0.389244793
Glyma.02G133600,R1_FC,-0.329079448
Glyma.02G133900,R1_FC,-1.186208831
Glyma.02G134000,R1_FC,2.00138077
Glyma.02G134500,R1_FC,2.413073031
Glyma.02G134600,R1_FC,-0.551732615
Glyma.02G134700,R1_FC,2.795557723
Glyma.02G135800,R1_FC,-1.105991395
Glyma.02G136300,R1_FC,-0.468732912
Glyma.02G137400,R1_FC,0.769999218
Glyma.02G137500,R1_FC,-0.670735145
Glyma.02G141700,R1_FC,-0.73771662
Glyma.02G141800,R1_FC,0.393103441
Glyma.02G142500,R1_FC,-0.915718527
Glyma.02G143700,R1_FC,-0.527273654
Glyma.02G146100,R1_FC,-0.516496282
Glyma.02G147300,R1_FC,-1.365348723
Glyma.02G148200,R1_FC,5.483045569
Glyma.02G148400,R1_FC,2.124273265
Glyma.02G149200,R1_FC,0.526665258
Glyma.02G149800,R1_FC,-0.581966215
Glyma.02G149900,R1_FC,1.002238608
Glyma.02G151200,R1_FC,0.868412437
Glyma.02G152500,R1_FC,-0.238258815
Glyma.02G153000,R1_FC,-1.929053422
Glyma.02G155400,R1_FC,0.6829452
Glyma.02G155600,R1_FC,1.35594892
Glyma.02G156000,R1_FC,0.719233895
Glyma.02G157200,R1_FC,-0.6381309
Glyma.02G157900,R1_FC,1.138518881
Glyma.02G158700,R1_FC,2.556906476
Glyma.02G160500,R1_FC,-0.763583983
Glyma.02G161100,R1_FC,0.431772244
Glyma.02G162000,R1_FC,-0.743127522
Glyma.02G166800,R1_FC,2.808804731
Glyma.02G167600,R1_FC,2.416973398
Glyma.02G167900,R1_FC,0.297241439
Glyma.02G168000,R1_FC,-0.773628132
Glyma.02G168900,R1_FC,0.352954116
Glyma.02G170500,R1_FC,0.822829124
Glyma.02G171100,R1_FC,-0.470517667
Glyma.02G172200,R1_FC,5.960628367
Glyma.02G173000,R1_FC,0.605663866
Glyma.02G174700,R1_FC,1.458029342
Glyma.02G179100,R1_FC,-1.00577316
Glyma.02G181500,R1_FC,1.047003185
Glyma.02G181800,R1_FC,3.320798493
Glyma.02G182600,R1_FC,-0.58349582
Glyma.02G182900,R1_FC,2.095001048
Glyma.02G184200,R1_FC,0.373712481
Glyma.02G184800,R1_FC,-0.37496237
Glyma.02G185300,R1_FC,-0.800571161
Glyma.02G187200,R1_FC,0.447797119
Glyma.02G190900,R1_FC,1.673099561
Glyma.02G193200,R1_FC,1.198617405
Glyma.02G195300,R1_FC,6.045737666
Glyma.02G195400,R1_FC,1.716782226
Glyma.02G195900,R1_FC,5.240412769
Glyma.02G198000,R1_FC,-0.695684526
Glyma.02G198400,R1_FC,-0.830308693
Glyma.02G202500,R1_FC,-1.759446619
Glyma.02G203200,R1_FC,-0.409281505
Glyma.02G203300,R1_FC,-0.591867952
Glyma.02G204000,R1_FC,0.544705436
Glyma.02G208000,R1_FC,0.633408368
Glyma.02G208200,R1_FC,0.517784765
Glyma.02G208400,R1_FC,1.653667423
Glyma.02G208500,R1_FC,1.153082855
Glyma.02G209000,R1_FC,-0.917956835
Glyma.02G209400,R1_FC,0.12588907
Glyma.02G210300,R1_FC,2.390142426
Glyma.02G211000,R1_FC,0.935027994
Glyma.02G211300,R1_FC,0.693636299
Glyma.02G211600,R1_FC,2.089626334
Glyma.02G212000,R1_FC,-1.502336071
Glyma.02G213500,R1_FC,1.233034163
Glyma.02G214300,R1_FC,-0.385697717
Glyma.02G215000,R1_FC,-0.221651373
Glyma.02G217100,R1_FC,-0.162701583
Glyma.02G217600,R1_FC,2.479205663
Glyma.02G219700,R1_FC,-0.595317955
Glyma.02G220500,R1_FC,0.595414071
Glyma.02G222600,R1_FC,-0.238862041
Glyma.02G224001,R1_FC,0.615540119
Glyma.02G227000,R1_FC,1.051408895
Glyma.02G227500,R1_FC,-1.902939111
Glyma.02G228200,R1_FC,1.204815958
Glyma.02G229400,R1_FC,-0.546894674
Glyma.02G230200,R1_FC,0.868687573
Glyma.02G230500,R1_FC,-0.414081886
Glyma.02G232600,R1_FC,3.602117864
Glyma.02G233800,R1_FC,7.03775701
Glyma.02G235700,R1_FC,0.521961336
Glyma.02G236500,R1_FC,0.863090104
Glyma.02G238100,R1_FC,0.421312124
Glyma.02G238800,R1_FC,1.704002021
Glyma.02G239100,R1_FC,4.709054133
Glyma.02G239900,R1_FC,2.539361466
Glyma.02G241200,R1_FC,0.921412928
Glyma.02G242200,R1_FC,0.679220574
Glyma.02G242900,R1_FC,4.977076347
Glyma.02G243300,R1_FC,3.025202724
Glyma.02G243600,R1_FC,2.309878141
Glyma.02G244300,R1_FC,-1.082367459
Glyma.02G244400,R1_FC,-0.338616789
Glyma.02G244700,R1_FC,-0.476013185
Glyma.02G245400,R1_FC,0.598762722
Glyma.02G246100,R1_FC,-1.573141471
Glyma.02G246500,R1_FC,-0.485782525
Glyma.02G247000,R1_FC,0.328259948
Glyma.02G247600,R1_FC,0.870818498
Glyma.02G247900,R1_FC,1.125872708
Glyma.02G248100,R1_FC,4.326596351
Glyma.02G248500,R1_FC,0.268926356
Glyma.02G249600,R1_FC,-0.996739402
Glyma.02G250200,R1_FC,-0.576446464
Glyma.02G251000,R1_FC,0.712612368
Glyma.02G251700,R1_FC,0.494171228
Glyma.02G253200,R1_FC,-0.492031153
Glyma.02G254000,R1_FC,0.194990432
Glyma.02G255400,R1_FC,2.210666263
Glyma.02G256900,R1_FC,4.317825999
Glyma.02G257200,R1_FC,-0.599233884
Glyma.02G257700,R1_FC,3.536678014
Glyma.02G258300,R1_FC,-0.546015356
Glyma.02G260300,R1_FC,-0.336457189
Glyma.02G260800,R1_FC,0.721888733
Glyma.02G263900,R1_FC,0.968426002
Glyma.02G264600,R1_FC,-1.161392904
Glyma.02G266700,R1_FC,-1.244630256
Glyma.02G267900,R1_FC,-0.605174214
Glyma.02G269300,R1_FC,-0.613780422
Glyma.02G269600,R1_FC,0.990777311
Glyma.02G271400,R1_FC,-0.881132451
Glyma.02G272400,R1_FC,-0.922948204
Glyma.02G273300,R1_FC,-0.823440982
Glyma.02G273500,R1_FC,-0.029282019
Glyma.02G274000,R1_FC,-1.015790928
Glyma.02G274400,R1_FC,2.23301369
Glyma.02G277700,R1_FC,-0.851212291
Glyma.02G279700,R1_FC,-1.030372082
Glyma.02G280100,R1_FC,2.042219429
Glyma.02G281000,R1_FC,0.326167393
Glyma.02G282400,R1_FC,-0.592982057
Glyma.02G282500,R1_FC,-0.745047667
Glyma.02G283300,R1_FC,1.063522053
Glyma.02G283900,R1_FC,2.243571624
Glyma.02G284300,R1_FC,3.651942004
Glyma.02G284667,R1_FC,0.765170395
Glyma.02G284800,R1_FC,3.344611038
Glyma.02G285100,R1_FC,-2.036177872
Glyma.02G286900,R1_FC,-0.896806625
Glyma.02G288600,R1_FC,0.982572044
Glyma.02G289400,R1_FC,-0.390149852
Glyma.02G290000,R1_FC,-0.64192051
Glyma.02G290300,R1_FC,0.701263846
Glyma.02G290800,R1_FC,-0.903582528
Glyma.02G292100,R1_FC,3.467859234
Glyma.02G293700,R1_FC,-0.713091538
Glyma.02G294500,R1_FC,0.197974945
Glyma.02G295900,R1_FC,0.188553697
Glyma.02G296600,R1_FC,1.414277972
Glyma.02G296900,R1_FC,0.486239626
Glyma.02G297200,R1_FC,0.937445924
Glyma.02G299100,R1_FC,2.261916624
Glyma.02G299400,R1_FC,1.123638436
Glyma.02G299500,R1_FC,4.224804244
Glyma.02G299800,R1_FC,-0.261527895
Glyma.02G300400,R1_FC,2.279626705
Glyma.02G300500,R1_FC,4.993392504
Glyma.02G301800,R1_FC,0.950539244
Glyma.02G302900,R1_FC,-0.879249569
Glyma.02G303300,R1_FC,1.242795622
Glyma.02G303500,R1_FC,-1.063205724
Glyma.02G304500,R1_FC,-0.813021525
Glyma.02G305200,R1_FC,0.593582766
Glyma.02G305400,R1_FC,-0.786427889
Glyma.02G305500,R1_FC,-1.235482464
Glyma.02G306400,R1_FC,0.603993726
Glyma.02G307300,R1_FC,5.099812856
Glyma.02G309300,R1_FC,3.408475146
Glyma.02G309500,R1_FC,-0.490854904
Glyma.02G311200,R1_FC,0.755302921
Glyma.03G001200,R1_FC,0.625016547
Glyma.03G001500,R1_FC,1.433753395
Glyma.03G001700,R1_FC,-0.610171875
Glyma.03G002200,R1_FC,-1.184848707
Glyma.03G003100,R1_FC,6.597314282
Glyma.03G003300,R1_FC,3.420934106
Glyma.03G004300,R1_FC,0.786681675
Glyma.03G005600,R1_FC,-1.790610865
Glyma.03G005800,R1_FC,3.371039263
Glyma.03G006200,R1_FC,-1.496784958
Glyma.03G006900,R1_FC,0.443764849
Glyma.03G007100,R1_FC,-1.559076173
Glyma.03G009000,R1_FC,-0.4964808
Glyma.03G009500,R1_FC,-1.528138568
Glyma.03G012600,R1_FC,0.693010239
Glyma.03G013400,R1_FC,-1.011244382
Glyma.03G015800,R1_FC,0.955996843
Glyma.03G015900,R1_FC,1.96501279
Glyma.03G016500,R1_FC,0.655290013
Glyma.03G017200,R1_FC,-0.363786063
Glyma.03G017800,R1_FC,-0.452317006
Glyma.03G019500,R1_FC,1.322429291
Glyma.03G022200,R1_FC,1.128749525
Glyma.03G022800,R1_FC,1.784445188
Glyma.03G027400,R1_FC,0.681032028
Glyma.03G027500,R1_FC,0.352270285
Glyma.03G029900,R1_FC,-0.583235003
Glyma.03G031000,R1_FC,-0.837910335
Glyma.03G032500,R1_FC,2.765545847
Glyma.03G032700,R1_FC,-1.294514818
Glyma.03G032800,R1_FC,2.896314074
Glyma.03G034000,R1_FC,-0.634656579
Glyma.03G035300,R1_FC,1.604525726
Glyma.03G036000,R1_FC,0.312552218
Glyma.03G036600,R1_FC,3.159862773
Glyma.03G037500,R1_FC,-0.449531938
