"","X","geneId","M1","M2","M3","M6","R1_1","R1_2","R1_4","R1_6","R25_1","R25_2","R25_4","R25_5","R25_6","DE_R1_mock","DE_R25_mock","DE_R1_R25","meanM","meanR1","meanR25","R1_LFC","R25_LFC","linetaldf"
"32",32,"Glyma.01G025300",158.45312784743,224.148414376374,242.881630850705,366.368265153994,315.271893259958,300.270901519113,135.534141017337,172.029783590304,87.3903001377674,127.959204023381,131.842338953194,162.773249022493,84.5716019689707,"no","yes","no",247.962859557126,230.776679846678,118.907338821161,-0.103626600685562,-1.0602862873655,"yes"
"33",33,"Glyma.01G026700",2928.93353180994,2201.89121598634,1659.20057775965,3114.08674901617,2092.8722895116,1666.5076258455,1351.25141531998,1962.94038373336,1728.80600275535,1639.92790648364,1523.00426635259,1785.93437176496,1284.4947265358,"no","yes","no",2476.02801864302,1768.39292860261,1592.43345477847,-0.485588769719318,-0.636794554283079,"yes"
"34",34,"Glyma.01G028500",785.950152062925,849.503849826294,1080.23892319331,822.146534695583,544.726088054871,457.413147467277,598.056625828764,486.855308797934,522.253833415518,243.376662226454,514.748595595628,295.231882450306,302.270466357277,"no","yes","no",884.459864944527,521.762792537212,375.576288009036,-0.761402610030198,-1.2356906963427,"yes"
"35",35,"Glyma.01G031500",1244.41661255985,1238.21399099804,846.128589719331,776.475501551334,1773.24348898016,1378.24669060301,2020.9761173187,1982.54889395391,3664.33699685319,3863.04571679515,3353.83493567559,4734.76755528905,3369.65778307024,"yes","yes","yes",1026.30867370714,1788.75379771394,3797.12859753664,0.801490127219108,1.88744415687605,"yes"
"36",36,"Glyma.01G032600",895.935792838703,615.557931528482,320.594604618,371.028574658509,556.332720476404,378.341571480621,428.170447755777,158.957443443275,65.0647169560971,200.760985351473,144.349327235484,320.203592030959,208.381382663742,"no","yes","no",550.779225910924,380.450545789019,187.752000847551,-0.533765213361614,-1.55264586302959,"no"
"37",37,"Glyma.01G033700",212.867076441763,173.760062742999,166.140069255501,166.907018360742,59.9259799862422,69.0616097100325,107.056111166952,88.1489343135308,84.4782675488539,59.5965557030988,59.6866373245942,57.4577781823465,40.2064305533443,"yes","yes","no",179.918556700251,81.0481587941892,60.2851338624475,-1.15049267612536,-1.57746980630882,"yes"
"38",38,"Glyma.01G033800",666.702562590239,685.741707017826,816.986224556596,469.827136154232,359.91278718893,370.334323279441,278.906291298586,437.834033246573,188.340763220102,285.104512499873,278.077894253822,310.432053499399,386.873816498704,"yes","yes","no",659.814407579723,361.746858753382,289.76580799438,-0.867079791558388,-1.18717291194246,"no"
"39",39,"Glyma.01G033900",372.63569146342,388.810349178296,404.136051417842,235.879599027567,124.208867243961,181.163084526557,192.490200718107,115.382976286509,94.1850428452322,171.462707499924,135.690643040052,196.430770631199,191.873411904439,"yes","yes","no",350.365422771781,153.311282193783,157.928515184169,-1.19239653478459,-1.14958871958656,"yes"
"40",40,"Glyma.01G034600",12.5774358711346,1,1,1,25.998900600224,24.0208385783933,44.2080452902395,43.4851054778463,21.3842281223945,36.5130640624841,11.5828362388612,164.944702029506,39.1746823808878,"no","yes","no",3.89435896778365,34.4282224866758,54.7199025668268,3.14413391948896,3.81260788373305,"no"
"41",41,"Glyma.01G034900",94.7772305561901,109.874831207828,170.025717943866,164.110832658033,73.3182481649336,107.096038665639,52.0640535248285,90.3276576713691,46.6218438929783,66.6991685155956,36.5968128034424,78.0865817489731,51.555660450365,"no","yes","no",134.697153091479,80.7014995066925,55.9120134822709,-0.739051973420419,-1.26848915405786,"yes"
"42",42,"Glyma.01G036600",12.5774358711346,1.89979199345312,1,1,184.027665108783,157.141339923016,357.466373644476,190.54893213193,420.332692803545,270.011460273317,180.908216060641,316.946412520439,971.875030281499,"yes","yes","no",4.11930696614693,222.296077702051,432.014762387888,5.75393704453267,6.71253516314364,"yes"
