TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
WRKY30,93,605,133,0.32785321,22.40679432,0
WRKY24,106,388,270,0.327497599,23.22276655,0
NAC018,89,297,249,0.327274455,20.96742834,0
WRKY24,92,388,204,0.327006873,19.70809206,0
MYB94,115,176,704,0.326704545,18.38500596,0
NAC018,87,297,239,0.326544278,18.12932586,0
ATMYB31,227,718,674,0.326312482,15.34397113,0
MYB17,112,551,215,0.32540408,21.06504607,0
MYB39,55,107,268,0.324790564,25.87362542,0
ERF008,310,455,2006,0.324481941,17.31908393,0
ERF011,140,241,773,0.324361849,17.4868447,0
MYB67,156,554,419,0.323789458,18.60634874,0
MYB15,113,220,554,0.323677284,20.04502267,0
MYB121,82,162,397,0.323341234,24.4019594,0
ERF105,267,479,1432,0.322382899,15.24445695,0
ERF105,189,479,718,0.322278865,23.7094311,0
WRKY28,50,118,204,0.322265576,21.16890233,0
ERF013,146,1260,163,0.322161606,22.96403882,0
MYB62,93,397,210,0.322090598,20.4424041,0
NAC076,73,447,115,0.321973537,18.96941797,0
MYB17,196,551,674,0.321625388,15.85881267,0
MYB63,112,173,704,0.320928763,18.97370326,0
ERF122,188,481,718,0.319906518,20.35199972,0
MYB30,150,757,291,0.319592681,20.07374541,0
WRKY20,54,140,204,0.319532221,22.99455927,0
ERF011,176,241,1260,0.319388205,21.33188583,0
ERF105,217,479,971,0.318186949,17.90042561,0
ERF027,55,110,272,0.317966887,17.89458057,0
WRKY30,261,605,1123,0.316645224,17.24993518,0
WRKY21,454,1833,1123,0.316435167,9.314565343,0
ERF008,86,455,163,0.31579042,19.80739332,0
ERF003,319,2245,455,0.315628937,16.76902434,0
NAC073,173,355,847,0.315493359,21.15108552,0
NAC019,100,256,393,0.315270795,20.07636752,0
MYB41,90,389,210,0.314889415,19.7846605,0
MYB10,96,138,674,0.314776094,21.39215415,0
ERF003,327,2245,481,0.314678479,15.86278063,0
WRKY53,37,104,133,0.314600374,25.94735456,0
NAC038,173,411,736,0.314547534,18.97636569,0
NAC011,203,448,932,0.314158688,20.81989698,0
MYB67,191,554,674,0.312570895,17.50827704,0
ERF038,307,481,2006,0.312536233,16.26139113,0
WRKY45,102,395,270,0.312334344,18.62582088,0
ERF038,312,481,2077,0.312150337,14.88409488,0
BHLH49,24,106,56,0.311504479,28.12125932,0
WRKY55,59,133,270,0.31134673,22.85995367,0
NAC037,29,69,126,0.311019902,21.125,0
ERF008,287,455,1872,0.310973424,17.22481333,0
MYB67,106,554,210,0.310771608,17.02890503,0
MYB10,62,138,291,0.309389558,16.43123008,0
MYB15,119,220,674,0.30903358,18.08423931,0
ERF096,186,754,481,0.308855069,15.85112792,0
MYB15,129,220,793,0.308845854,22.40649042,0
ERF037,41,65,272,0.308349129,25.25743715,0
MYB15,67,220,215,0.308066328,23.66522649,0
